time,open,high,low,close,ST Line Up,ST Up,ST Line Down,ST Down,EMA 1,EMA 2,EMA 3,EMA 4,Zhighs,Zlows,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),BUY,SELL,AP,MOM,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
1708315200,52063.8,52488.77,51989.21,52394.04,43507.29629960295,NaN,NaN,NaN,51720.939994220695,50445.99191562483,48388.622745893335,46209.21583367749,NaN,NaN,51997.06799112295,52488.77,51989.21,52233.955,0,0,52210.02074864228,1409.4800000000032,52063.8,52488.77,51989.21,52394.04
1708329600,52394.04,52450,52063.52,52336.22,43818.51566964265,NaN,NaN,NaN,51779.5380900092,50520.118507168954,48466.792988548914,46270.181049262785,NaN,NaN,52115.51149556148,52450,52063.52,52310.945,0,0,52234.95146913248,941.7900000000009,52394.04,52450,52063.52,52336.22
1708344000,52336.22,52454.11,52027,52127.99,44005.47010267839,NaN,NaN,NaN,51812.7239861988,50583.17229120155,48539.29193927072,46328.46770548903,NaN,NaN,52213.22824778074,52454.11,52027,52236.33,0,0,52225.61414194309,485.34999999999854,52336.22,52454.11,52027,52127.99
1708358400,52127.99,52230,51677,51820.61,44005.47010267839,NaN,NaN,NaN,51813.475035132244,50631.699260174035,48604.26853453268,46383.11588752396,NaN,NaN,52224.779123890374,52230,51677,51963.899999999994,0,0,52147.39681519712,340.6200000000026,52127.99,52230,51677,51820.61
1708372800,51820.61,52110,51705.11,51774.73,44005.47010267839,NaN,NaN,NaN,51809.78503178632,50676.52399506917,48667.04994969045,46436.76378914064,NaN,NaN,52094.339561945184,52110,51705.11,51852.6125,0,0,52111.04915377612,103.63000000000466,51820.61,52110,51705.11,51774.73
1708387200,51774.74,51832.01,51311,51580.23,44005.47010267839,NaN,NaN,NaN,51787.92264780667,50711.963446242924,48724.73668335995,46487.9425574079,NaN,NaN,51973.4760309726,51973.4760309726,51311,51624.495,0,0,52029.872819153716,-251.77999999999884,51774.74,51832.01,51311,51580.23
1708401600,51580.23,52039.91,51510,51839.28,44005.47010267839,NaN,NaN,NaN,51792.81382420604,50756.17193854712,48786.410808441935,46541.18969614016,NaN,NaN,51798.9855154863,52039.91,51510,51742.355,0,0,52007.330298495835,65.29000000000087,51580.23,52039.91,51510,51839.28
1708416000,51839.28,52380,51560,52286.8,44005.47010267839,NaN,NaN,NaN,51839.86012666261,50816.19656840802,48855.72544589853,46598.35994791986,NaN,NaN,51770.67025774316,52380,51560,52016.520000000004,0,0,52018.38991632174,528.6800000000003,51839.28,52380,51560,52286.8
1708430400,52286.8,52985,51340,51680,44005.47010267839,NaN,NaN,NaN,51824.63535269474,50850.071212784176,48911.65167469262,46648.92353052762,52985,NaN,51893.59512887158,52985,51340,52072.95,0,0,52013.81632582123,-457.66999999999825,52286.8,52985,51340,51680
1708444800,51679.99,52138.31,50760.37,52101.11,44005.47010267839,NaN,NaN,NaN,51850.96627148572,50899.131557380875,48974.809265292766,46703.174142164164,NaN,NaN,51983.272564435785,52138.31,50760.37,51669.94499999999,0,0,51964.72170134302,37.30000000000291,51679.99,52138.31,50760.37,52101.11
1708459200,52101.1,52517.3,51901.1,52258.82,44005.47010267839,NaN,NaN,NaN,51889.80948372518,50952.452672777705,49039.83918083152,46758.45420045109,NaN,NaN,51826.60878221789,52517.3,51826.60878221789,52194.58,0,0,51982.741097220154,-135.22000000000116,52101.1,52517.3,51901.1,52258.82
1708473600,52258.82,52366.8,51988.91,52001.99,44005.47010267839,NaN,NaN,NaN,51900.49334241802,50993.61099933544,49098.49563269624,46810.62868601874,NaN,NaN,52010.59439110894,52366.8,51988.91,52154.13,0,0,51988.314393738,-334.2300000000032,52258.82,52366.8,51988.91,52001.99
1708488000,52002,52113.39,51452.45,51568.64,44005.47010267839,NaN,NaN,NaN,51868.888262187735,51016.16115622425,49147.40938254384,46857.97208217776,NaN,NaN,52082.362195554466,52113.39,51452.45,51784.119999999995,0,0,51975.32056609162,-559.3499999999985,52002,52113.39,51452.45,51568.64
1708502400,51568.64,51787.04,50813,50965.53,44005.47010267839,NaN,NaN,NaN,51782.85414197938,51014.175620686045,49183.411771008316,46898.84330524067,NaN,NaN,51933.24109777723,51933.24109777723,50813,51283.5525,0,0,51898.41175743229,-855.0800000000017,51568.64,51787.04,50813,50965.53
1708516800,50965.53,51442.26,50625,51156,44005.47010267839,NaN,NaN,NaN,51723.15374750515,51019.737361051295,49222.472924057656,46941.20307334773,NaN,NaN,51608.396798888614,51608.396798888614,50625,51047.1975,0,0,51809.1837350288,-618.7300000000032,50965.53,51442.26,50625,51156
1708531200,51156,51427.43,50649.28,51058,44005.47010267839,NaN,NaN,NaN,51659.80577155228,51021.237856696345,49258.8199948684,46982.166226846755,NaN,NaN,51327.797149444305,51427.43,50649.28,51072.6775,0,0,51757.81649870873,-522.2300000000032,51156,51427.43,50649.28,51058
1708545600,51057.99,51950.01,50862.5,51849.39,44005.47010267839,NaN,NaN,NaN,51677.861412356826,51053.714411335706,49310.1184108116,47030.59631414181,NaN,NaN,51200.237324722155,51950.01,50862.5,51429.9725,0,0,51746.379268907294,10.110000000000582,51057.99,51950.01,50862.5,51849.39
1708560000,51849.38,51878.18,51153.69,51586.1,44005.47010267839,NaN,NaN,NaN,51669.12223022761,51074.59227755784,49355.187353171765,47075.924709025974,NaN,NaN,51315.10491236108,51878.18,51153.69,51616.8375,0,0,51738.7351849775,-700.7000000000044,51849.38,51878.18,51153.69,51586.1
